ノルウェー海,50,510,225,45,20
ユトランド半島沖,92,626,135,45,20
北海,39,664,225,135,20
バルト海,258,546,225,45,30
ブリテン島南部,4688,714,135,45,20
ブリテン島北部,4726,544,135,45,20
ビスケー湾,4678,827,180,45,20
北東大西洋,4522,760,135,45,30
北大西洋,4235,918,85,92,40
リスボン沖,4606,990,135,175,20
マディラ沖,4490,992,175,195,20
ジブラルタル海峡,4686,980,135,170,20
バレアレス諸島沖,4782,956,135,135,20
リグリア海,52,892,135,135,20
ティレニア海,46,934,135,135,20
イオニア海,216,988,135,135,20
アドリア海,201,866,130,135,20
東地中海,382,998,140,155,30
黒海,480,865,90,150,30
カナリア沖,4504,1144,200,190,30
穀物海岸沖,4535,1358,35,320,30
黄金海岸沖,4716,1424,10,0,30
南大西洋,4646,1816,315,315,50
ギニア湾,66,1446,330,30,30
ナミビア沖,84,1588,25,330,30
喜望峰沖,138,1781,45,25,30
アガラス岬沖,368,1834,88,50,30
ケープ海盆,148,1998,45,340,50
アガラス海盆,444,1992,55,55,50
モザンビーク海峡,522,1780,50,50,40
南西インド洋,738,1885,50,50,50
マダガスカル沖,780,1586,270,300,30
ザンジバル沖,700,1434,340,330,30
アラビア海,774,1286,150,150,30
紅海,542,1204,45,150,30
ペルシャ湾,836,1165,45,135,30
インド西岸沖,944,1238,170,155,30
インド南岸沖,1020,1370,300,110,30
アンダマン海,1176,1396,135,45,30
中部インド洋,1120,1546,300,300,50
ベンガル湾,1176,1234,35,35,30
サンフアン沖,4006,1138,270,270,30
アンティル諸島沖,3904,1118,250,250,30
西カリブ海,3724,1158,225,225,30
バミューダ諸島沖,3900,996,110,160,40
コッド岬沖,3936,844,110,160,40
メキシコ湾,3576,1124,225,225,30
南カリブ海,3930,1231,270,225,30
中央大西洋,4228,1290,240,225,40
アマゾン川流域,4150,1382,280,260,40
サンロケ岬沖,4306,1414,280,260,40
南西大西洋,4344,1712,320,315,40
ブエノスアイレス沖,4113,1840,315,250,40
アルゼンチン海盆,4096,2000,90,260,50
ジョージア海盆,4380,2000,75,270,80
南インド洋,1055,1886,350,0,70
南東インド洋,1354,1886,10,0,70
ジャワ島南方沖,1420,1564,45,0,40
ジャワ海,1434,1410,45,225,30
シャム湾,1468,1310,45,225,30
セレベス海,1634,1355,45,225,30
バンダ海,1735,1544,300,90,30
西カロリン海盆,1796,1350,45,225,40
東カロリン海盆,1988,1364,315,225,50
西オーストラリア海盆,1608,1700,0,45,50
パース海盆,1604,1976,45,330,40
アラフラ海,1906,1630,315,135,50
南オーストラリア海盆,1874,2020,90,45,50
コーラル海,2244,1698,315,225,60
タスマン海,2256,1970,45,120,50
サモア海盆,2508,1664,315,270,70
南太平洋海盆西,2620,1964,45,90,70
南太平洋海盆北,2884,1660,310,315,100
南太平洋海盆,2970,1960,95,70,80
南太平洋海盆東,3376,1817,315,330,70
ペルー海盆,3720,1676,0,10,40
チリ海盆,3726,1977,90,100,40
メラネシア海盆,2210,1362,315,225,60
中央太平洋海盆西,2510,1362,225,240,80
中央太平洋海盆,2923,1361,315,270,70
中央太平洋海盆東,3298,1363,125,270,50
テワンテペク湾,3521,1307,180,225,30
パナマ湾,3645,1308,315,230,30
ガラパゴス諸島沖,3520,1482,0,10,50
グアヤキル湾,3634,1438,345,10,40
東アジア西部,1562,1176,10,180,30
東アジア東部,1874,1100,280,170,30
北西太平洋海盆,2172,990,280,110,30
テラ・ノヴァ沖,3965,705,70,120,30
アイスランド海盆,4362,536,15,25,30
ラブラドル海,4026,536,15,150,30
